tick	walking_tick	ref_zmp_x	ref_zmp_y	ref_zmp_z	target_com_stance_x	target_com_stance_y	target_com_stance_z	com_stance_x	com_stance_y	com_stance_z	com_global_x	com_global_y	com_global_z	lfoot_x	lfoot_y	lfoot_z	rfoot_x	rfoot_y	rfoot_z	target_com_global_x	target_com_global_y	target_com_global_z	q_leg_desired[0..11]	q_leg_meas[0..11]	phase_indicator	swing_target_x	swing_target_y	swing_target_z	ref_vrp_world_x	ref_vrp_world_y	ref_vrp_world_z	target_com_world_x	target_com_world_y	target_com_world_z	com_world_x	com_world_y	com_world_z	stance_foot_x	stance_foot_y	stance_foot_z	swing_foot_x	swing_foot_y	swing_foot_z
12	13	0.030000	-0.050000	0.625800	0.025781	-0.058029	0.605716	0.088881	-0.101158	0.611841	-0.025854	0.039941	-0.069320	-0.012590	0.118500	0.034580	-0.017266	-0.100590	0.037563	-0.021229	-0.036351	-0.075445	-0.428584	-0.082960	0.066284	1.015496	-0.589245	0.105803	-0.556930	-0.089380	0.055606	1.297026	-0.712529	0.072876	-0.354682	-0.031406	0.032837	0.968325	-0.561598	0.042051	-0.355568	-0.027109	-0.011102	0.995443	-0.538357	0.006845	0	0.092290	-0.116377	0.033978	0.018440	0.069132	0.660380	0.014388	0.061018	0.640296	0.078368	0.019206	0.646421	-0.012590	0.118500	0.034580	-0.017266	-0.100590	0.037563
13	14	0.030000	-0.050000	0.625800	0.024123	-0.056001	0.605956	0.088058	-0.098895	0.611665	-0.025169	0.040420	-0.069234	-0.012590	0.118500	0.034580	-0.017288	-0.099988	0.037304	-0.019698	-0.036377	-0.074942	-0.430515	-0.085918	0.068539	1.012483	-0.584675	0.109566	-0.590081	-0.093448	0.060952	1.359073	-0.742137	0.078080	-0.353821	-0.038675	0.038395	0.967081	-0.558035	0.050208	-0.355466	-0.036730	-0.009870	0.997531	-0.542140	0.014108	0	0.092744	-0.116174	0.033978	0.018535	0.069192	0.660380	0.012795	0.063060	0.640536	0.077686	0.021625	0.646245	-0.012590	0.118500	0.034580	-0.017288	-0.099988	0.037304
14	15	0.030000	-0.050000	0.625800	0.022788	-0.054298	0.606276	0.087951	-0.095959	0.611829	-0.024309	0.041007	-0.069188	-0.012590	0.118500	0.034580	-0.016416	-0.100619	0.037222	-0.017291	-0.036016	-0.074741	-0.431584	-0.088573	0.070331	1.008825	-0.580179	0.112654	-0.614713	-0.096323	0.066378	1.401299	-0.760790	0.083186	-0.351418	-0.048211	0.041354	0.963255	-0.555261	0.058177	-0.356114	-0.046002	-0.004607	0.997778	-0.545201	0.020023	0	0.092194	-0.116420	0.033978	0.018420	0.069120	0.660380	0.011297	0.064676	0.640856	0.077292	0.024348	0.646409	-0.012590	0.118500	0.034580	-0.016416	-0.100619	0.037222
15	16	0.030000	-0.050000	0.625800	0.021742	-0.052889	0.606663	0.087312	-0.092940	0.611907	-0.023507	0.041578	-0.069177	-0.012590	0.118500	0.034580	-0.016301	-0.100070	0.037016	-0.014796	-0.034761	-0.074422	-0.431649	-0.090854	0.071778	1.004080	-0.575736	0.115438	-0.627369	-0.099431	0.071833	1.415385	-0.763382	0.087627	-0.349620	-0.057330	0.048720	0.958278	-0.549455	0.073360	-0.356276	-0.058999	-0.003134	0.998144	-0.550938	0.029768	0	0.092719	-0.116185	0.033978	0.018530	0.069189	0.660380	0.010339	0.066114	0.641243	0.076795	0.027553	0.646487	-0.012590	0.118500	0.034580	-0.016301	-0.100070	0.037016
16	17	0.030000	-0.050000	0.625800	0.020951	-0.051745	0.607103	0.089711	-0.093119	0.612049	-0.022866	0.042051	-0.069175	-0.012590	0.118500	0.034580	-0.011966	-0.106266	0.037112	-0.013591	-0.037659	-0.074120	-0.431580	-0.092986	0.072687	1.000357	-0.572133	0.117475	-0.632086	-0.100524	0.077294	1.410091	-0.755059	0.092411	-0.344481	-0.065196	0.047581	0.952542	-0.543066	0.088007	-0.361789	-0.072285	0.006937	1.000377	-0.557777	0.041907	0	0.091679	-0.116649	0.033978	0.018311	0.069052	0.660380	0.009295	0.067144	0.641683	0.078794	0.027023	0.646629	-0.012590	0.118500	0.034580	-0.011966	-0.106266	0.037112
17	18	0.030000	-0.050000	0.625800	0.020387	-0.050838	0.607587	0.088826	-0.085468	0.611660	-0.021931	0.043319	-0.068985	-0.012590	0.118500	0.034580	-0.008394	-0.100579	0.035998	-0.007077	-0.031931	-0.073058	-0.430198	-0.094181	0.074261	0.994200	-0.567948	0.119824	-0.636803	-0.100646	0.082274	1.404227	-0.746290	0.097172	-0.341507	-0.082283	0.069705	0.944617	-0.539172	0.096332	-0.371488	-0.083951	0.020530	1.003811	-0.567410	0.061007	0	0.093043	-0.116039	0.033978	0.018598	0.069232	0.660380	0.009008	0.068164	0.642167	0.078256	0.035182	0.646240	-0.012590	0.118500	0.034580	-0.008394	-0.100579	0.035998
18	19	0.030000	-0.050000	0.625800	0.020025	-0.050147	0.608105	0.088842	-0.092775	0.612475	-0.021129	0.043844	-0.068644	-0.012590	0.118500	0.034580	-0.011384	-0.119863	0.041059	-0.012984	-0.036695	-0.073013	-0.429079	-0.095865	0.074142	0.990375	-0.565180	0.121089	-0.640307	-0.099684	0.092208	1.397981	-0.738854	0.103243	-0.334510	-0.083382	0.067428	0.936010	-0.531805	0.113020	-0.379584	-0.111878	0.041488	1.032991	-0.591773	0.077498	0	0.091179	-0.116870	0.033978	0.018206	0.068986	0.660380	0.008235	0.068680	0.642685	0.077724	0.027158	0.647055	-0.012590	0.118500	0.034580	-0.011384	-0.119863	0.041059
19	20	0.030000	-0.050000	0.625800	0.019843	-0.049651	0.608649	0.087357	-0.092527	0.612471	-0.020030	0.045114	-0.067689	-0.012590	0.118500	0.034580	-0.014909	-0.125461	0.048842	-0.012712	-0.034528	-0.071510	-0.427830	-0.097018	0.074819	0.986312	-0.562399	0.122738	-0.645102	-0.098794	0.101089	1.392890	-0.731308	0.108077	-0.330232	-0.098509	0.081771	0.928953	-0.530222	0.135310	-0.401008	-0.143095	0.057625	1.090226	-0.607690	0.110610	0	0.091659	-0.116658	0.033978	0.018307	0.069049	0.660380	0.008146	0.069215	0.643229	0.076422	0.027564	0.647051	-0.012590	0.118500	0.034580	-0.014909	-0.125461	0.048842
20	21	0.030000	-0.050000	0.625800	0.019822	-0.049332	0.609213	0.087825	-0.090548	0.612006	-0.018807	0.046490	-0.066457	-0.012590	0.118500	0.034580	-0.017866	-0.129432	0.058857	-0.010379	-0.032582	-0.069250	-0.427190	-0.097652	0.075737	0.984371	-0.561110	0.123431	-0.652202	-0.096783	0.105718	1.393132	-0.726038	0.111365	-0.327786	-0.116320	0.087074	0.929737	-0.526726	0.139558	-0.424657	-0.164937	0.076695	1.157908	-0.628182	0.133203	0	0.090160	-0.117317	0.033978	0.017992	0.068854	0.660380	0.007806	0.069403	0.643793	0.076286	0.028983	0.646586	-0.012590	0.118500	0.034580	-0.017866	-0.129432	0.058857
21	22	0.030000	-0.050000	0.625800	0.019943	-0.049174	0.609790	0.086910	-0.086894	0.612158	-0.017582	0.048031	-0.065187	-0.012590	0.118500	0.034580	-0.017327	-0.133328	0.069097	-0.006602	-0.028039	-0.067555	-0.427040	-0.098294	0.075926	0.984353	-0.561068	0.124169	-0.661402	-0.094409	0.108562	1.398022	-0.722833	0.113223	-0.321258	-0.127007	0.094292	0.931723	-0.530803	0.156411	-0.442698	-0.182160	0.094493	1.214742	-0.650892	0.148762	0	0.091398	-0.116773	0.033978	0.018252	0.069015	0.660380	0.008183	0.069671	0.644370	0.075778	0.033090	0.646738	-0.012590	0.118500	0.034580	-0.017327	-0.133328	0.069097
